,Year,Value
0,1961,1423066.0
1,1962,1455214.0
2,1963,1402856.0
3,1964,1480782.0
4,1965,1501086.0
5,1966,1568860.0
6,1967,1675926.0
7,1968,1811756.0
8,1969,1815140.0
9,1970,1704126.0
10,1971,1762688.0
11,1972,1780454.0
12,1973,2001166.0
13,1974,1734488.0
14,1975,1971180.0
15,1976,2295574.0
16,1977,2341634.0
17,1978,2718480.0
18,1979,2848858.0
19,1980,2682008.0
20,1981,2700902.0
21,1982,3135182.0
22,1983,3732176.0
23,1984,3887276.0
24,1985,3702096.0
25,1986,3588732.0
26,1987,3191300.0
27,1988,2940508.0
28,1989,3220722.0
29,1990,3448484.0
30,1991,3239616.0
31,1992,3182934.0
32,1993,3043344.0
33,1994,3037610.0
34,1995,3279378.0
35,1996,3062896.0
36,1997,3001420.0
37,1998,3126722.0
38,1999,3161314.0
39,2000,3023980.0
40,2001,2995780.0
41,2002,3115160.0
42,2003,3120800.0
43,2004,3060640.0
44,2005,3153700.0
45,2006,3077560.0
46,2007,3121740.0
47,2008,2757960.0
48,2009,2675522.0
49,2010,2847542.0
50,2011,3059042.0
51,2012,3050112.0
52,2013,3187540.0
53,2014,3417687.08
54,2015,3899893.57
55,2016,4142099.01
56,2017,4706000.0
57,2018,4843267.17
58,2019,4254189.77
59,2020,4364943.71
